Age,Gender,Height,Weight,Activity Level,Goal,Body Type
46,Male,164,116,Sedentary,Weight Loss,Overweight
36,Male,172,119,Moderately active,Weight Loss,Overweight
57,Female,173,47,Lightly active,Weight Loss,Overweight
41,Female,193,74,Lightly active,Muscle Gain,Fit
38,Female,182,102,Lightly active,Weight Loss,Overweight
42,Female,198,103,Moderately active,Muscle Gain,Overweight
45,Female,165,59,Lightly active,Muscle Gain,Overweight
20,Male,186,95,Moderately active,Weight Loss,Overweight
56,Male,167,48,Sedentary,Muscle Gain,Overweight
26,Female,175,97,Lightly active,Maintenance,Overweight
24,Female,193,52,Moderately active,Maintenance,Underweight
34,Female,185,94,Very active,Muscle Gain,Overweight
23,Female,191,48,Lightly active,Weight Loss,Overweight
35,Male,175,88,Lightly active,Muscle Gain,Overweight
53,Female,163,92,Moderately active,Muscle Gain,Overweight
57,Male,170,97,Very active,Muscle Gain,Overweight
58,Male,178,59,Sedentary,Weight Loss,Overweight
24,Male,158,45,Very active,Maintenance,Underweight
34,Male,157,79,Moderately active,Weight Loss,Fit
22,Male,191,85,Very active,Maintenance,Overweight
25,Male,161,78,Sedentary,Maintenance,Overweight
41,Male,186,88,Very active,Muscle Gain,Overweight
52,Male,150,91,Lightly active,Maintenance,Overweight
22,Male,175,58,Moderately active,Maintenance,Underweight
32,Male,164,86,Very active,Weight Loss,Overweight
49,Male,188,96,Sedentary,Muscle Gain,Overweight
40,Male,188,59,Moderately active,Weight Loss,Underweight
30,Female,181,115,Moderately active,Maintenance,Overweight
45,Female,151,86,Sedentary,Muscle Gain,Overweight
23,Male,177,72,Very active,Muscle Gain,Overweight
28,Female,177,106,Sedentary,Weight Loss,Overweight
44,Male,162,47,Moderately active,Muscle Gain,Underweight
44,Female,158,106,Sedentary,Weight Loss,Overweight
59,Male,193,68,Moderately active,Maintenance,Fit
49,Female,181,96,Sedentary,Muscle Gain,Overweight
29,Male,188,46,Moderately active,Weight Loss,Underweight
34,Male,198,46,Lightly active,Muscle Gain,Overweight
54,Male,181,45,Moderately active,Muscle Gain,Underweight
43,Female,181,114,Very active,Maintenance,Overweight
28,Female,166,82,Very active,Weight Loss,Overweight
